distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,mouse_7_x,mouse_7_y,mouse_7_leftButton,mouse_7_midButton,mouse_7_rightButton,sound_2_started,sound_2_stopped,key_resp_3_keys,mouse_5_x,mouse_5_y,mouse_5_leftButton,mouse_5_midButton,mouse_5_rightButton,mouse_5_started,mouse_5_stopped,yes_text2_started,yes_text2_stopped,no_text2_started,no_text2_stopped,mouse_3_x,mouse_3_y,mouse_3_leftButton,mouse_3_midButton,mouse_3_rightButton,mouse_3_started,mouse_3_stopped,st_prac_back_started,st_prac_back_stopped,st_prac_text_started,st_prac_text_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,st_main_text_started,st_main_text_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,text_2_started,text_2_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6643286000472,None,-0.26018518,-0.039814815,0,0,0,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,,,,NaN,NaN,NaN,,,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,41.6055909400573,None,None,0.074074075,-0.39814815,0,0,0,1.00984573992901,None,97.089488800033,None,97.089488800033,None,-0.07962963,-0.10555556,0,0,0,0.0132821401348338,None,98.5293053999776,None,98.5293053999776,None,100.542327000061,None,100.542327000061,None,prac,k,k,1,2.24850890005473,102.554894500063,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,1,1,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50211949995719,106.829635299975,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,2,2,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49699530005455,109.333644600003,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,3,3,3,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49808829999529,111.832252399996,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49896590004209,114.325577800046,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,5,5,5,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49904100003187,116.827032200061,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,6,6,6,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.1865809999872,119.331669199979,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49394570000004,121.511864600005,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49843329994474,124.010276700021,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,9,9,9,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.18466999998782,126.510031000013,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,10,10,10,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49629400006961,128.696125600021,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,11,11,11,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.04495040001348,131.193790700054,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,12,12,12,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50197410001419,133.240550399991,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,13,13,13,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49870600004215,135.749088500044,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,14,14,14,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.887628199998289,138.248999500065,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,15,15,15,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.897517599980347,140.13019549998,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,16,16,16,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.51079159998335,142.030815700069,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,17,17,17,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.0029355000006,144.545261600055,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,blue,1,k,None,NaN,NaN,NaN,NaN,0,18,18,18,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.08173119998537,146.547127400059,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,19,19,19,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49327269999776,148.629402699997,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,1,0,20,0,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.870514699956402,151.127653800067,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,red,2,None,None,NaN,NaN,NaN,NaN,1,1,21,1,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49350899993442,152.9962237,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
negative,blue,2,None,k,NaN,NaN,NaN,NaN,1,2,22,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49891449999996,155.493639599998,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,1,3,23,3,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49856249999721,157.993576599983,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,126,19,Female,2022-05-10_18h07.47.613,Parachute,2022.1.1,59.9513554626955
