target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,22.0552135000471,34.0072282200097,None,56.0900275000604,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,0,0,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,62.4066685000435,None,prac,1,1,2,neutral,negative,l,l,1,1.01730389997829,64.4233099999838,65.4234282999532,65.4067345999647,None,64.4233099999838,None,64.4233099999838,None,64.4233099999838,None,66.4377905200352,None,66.4377905200352,None,66.4377905200352,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,1,1,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.833525100024417,66.4417379000224,67.456481799949,67.440089300042,None,66.4417379000224,None,66.4417379000224,None,66.4417379000224,None,68.2731791200465,None,68.2731791200465,None,68.2731791200465,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,2,2,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.8460219000699,68.2762476999778,69.2869376000017,69.2696274999762,None,68.2762476999778,None,68.2762476999778,None,68.2762476999778,None,70.120604019973,None,70.120604019973,None,70.120604019973,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,3,3,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,negative,l,l,1,0.715206100023352,70.1212601000443,71.1206623000326,71.1206623000326,None,70.1212601000443,None,70.1212601000443,None,70.1212601000443,None,71.837347220059,None,71.837347220059,None,71.837347220059,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.798609499935992,71.8408284999896,72.8400176999858,72.8400176999858,None,71.8408284999896,None,71.8408284999896,None,71.8408284999896,None,73.6376434200327,None,73.6376434200327,None,73.6376434200327,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,5,5,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,0.815431499970146,73.6408270000247,74.6397954999702,74.6397954999702,None,73.6408270000247,None,73.6408270000247,None,73.6408270000247,None,75.4542814199929,None,75.4542814199929,None,75.4542814199929,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,6,6,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,1.38231180002913,75.4568081999896,76.4563175999792,76.4398728000233,None,75.4568081999896,None,75.4568081999896,None,75.4568081999896,None,77.8376792200259,None,77.8376792200259,None,77.8376792200259,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,7,7,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,positive,j,j,1,0.789717399980873,77.8409142000601,78.8541658000322,78.8398106000386,None,77.8409142000601,None,77.8409142000601,None,77.8409142000601,None,79.6286769199767,None,79.6286769199767,None,79.6286769199767,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,8,8,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,neutral,k,k,1,0.840061399969272,79.6442835000344,80.6537749000126,80.6204418999841,None,79.6442835000344,None,79.6442835000344,None,79.6442835000344,None,81.470507020026,None,81.470507020026,None,81.470507020026,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,701,2023-11-16_11h08.54.260,Main,2022.1.1,59.8247851583153
