target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,conj_ins_loop_thisRepN,conj_ins_loop_thisTrialN,conj_ins_loop_thisN,conj_ins_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,487.53377,631.8151679,NaN,,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
negative,positive,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,699.964030900001,prac,2,2,1,positive,negative,702.022528700001,702.976794,702.976794,703.026970800001,l,l,1,16.8214769999995,l,1,16.8205981999999,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,1,neutral,neutral,720.875657100001,721.860252100001,721.860252100001,721.876922500001,k,k,1,10.1398701999988,k,1,10.1216375999993,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
neutral,positive,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2,2,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,2,positive,neutral,733.0276483,734.0102821,734.0102821,734.0269948,k,j,0,3.70705110000017,j,0,3.68382800000109,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
neutral,neutral,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,neutral,neutral,738.741054800001,739.7268067,739.7268067,739.743589700001,k,k,1,6.05722570000034,k,1,6.03893810000045,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
positive,negative,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,negative,positive,746.8107349,747.793729500001,747.793729500001,747.810134200001,j,j,1,3.99048500000026,j,1,3.96387370000048,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
neutral,positive,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,positive,neutral,752.8091325,753.7767759,753.7767759,753.810190600001,k,l,0,4.95720469999833,l,0,4.95031689999996,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
positive,negative,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,6,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,2,2,1,negative,positive,759.769230400001,760.760633900001,760.760633900001,760.7782104,j,j,1,2.82382759999928,j,1,2.80536460000076,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
positive,positive,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7,7,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,prac,1,1,2,positive,positive,764.6020666,765.5935462,765.5935462,765.6101055,j,j,1,1.79104899999948,j,1,1.77213830000073,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,107,60,여성,no,yes,yes,no,2023-11-28_14h15.12.040,experiment_2311,2022.2.5,59.9069285955657
