target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,54.0403418000787,31.4800981500885,None,85.5451601000968,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,0,0,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,88.7426044999156,None,prac,1,1,1,positive,positive,j,k,0,1.12633259990253,90.7710023000836,91.7784313999582,91.7618362000212,None,90.7710023000836,None,90.7710023000836,None,90.7710023000836,None,92.8995026999619,None,92.8995026999619,None,92.8995026999619,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,1,1,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,0.821357900043949,93.9191159999464,94.928328699898,94.9117125000339,None,93.9191159999464,None,93.9191159999464,None,93.9191159999464,None,95.7290953499032,None,95.7290953499032,None,95.7290953499032,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,2,2,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,0.696942300070077,95.7489434001036,96.7617007999215,96.7283040001057,None,95.7489434001036,None,95.7489434001036,None,95.7489434001036,None,97.4281706499169,None,97.4281706499169,None,97.4281706499169,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,3,3,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,0.662899599876255,97.4318826000672,98.4423473998904,98.4090154001024,None,97.4318826000672,None,97.4318826000672,None,97.4318826000672,None,99.0922569500981,None,99.0922569500981,None,99.0922569500981,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,4,4,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,neutral,k,k,1,0.582191699882969,99.0951618999243,100.109030199936,100.092369599966,None,99.0951618999243,None,99.0951618999243,None,99.0951618999243,None,100.675672550104,None,100.675672550104,None,100.675672550104,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,5,5,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,l,l,1,0.881735800066963,100.680029900046,101.694799999939,101.678174600005,None,100.680029900046,None,100.680029900046,None,100.680029900046,None,102.558951049927,None,102.558951049927,None,102.558951049927,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,6,6,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,0.615210400195792,102.572376099881,103.578063899884,103.561531699961,None,102.572376099881,None,102.572376099881,None,102.572376099881,None,104.175915249973,None,104.175915249973,None,104.175915249973,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,7,7,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,j,j,1,0.78419840009883,104.181339700008,105.19473099988,105.178104199935,None,104.181339700008,None,104.181339700008,None,104.181339700008,None,105.961265149876,None,105.961265149876,None,105.961265149876,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,8,8,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,0.632028700085357,105.96442679991,106.978089400101,106.961466700071,None,105.96442679991,None,105.96442679991,None,105.96442679991,None,107.594642249984,None,107.594642249984,None,107.594642249984,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,405,2023-07-07_15h28.54.180,Main,2022.1.1,59.9806621989825
