target,distractor,set,ans1,ans2,total_experiment_thisRepN,total_experiment_thisTrialN,total_experiment_thisN,total_experiment_thisIndex,word_task_thisRepN,word_task_thisTrialN,word_task_thisN,word_task_thisIndex,flanker_task_thisRepN,flanker_task_thisTrialN,flanker_task_thisN,flanker_task_thisIndex,conjunction_task_thisRepN,conjunction_task_thisTrialN,conjunction_task_thisN,conjunction_task_thisIndex,second_end_thisRepN,second_end_thisTrialN,second_end_thisN,second_end_thisIndex,last_end_thisRepN,last_end_thisTrialN,last_end_thisN,last_end_thisIndex,fl_inst_loop_thisRepN,fl_inst_loop_thisTrialN,fl_inst_loop_thisN,fl_inst_loop_thisIndex,fl_prac_loop_thisRepN,fl_prac_loop_thisTrialN,fl_prac_loop_thisN,fl_prac_loop_thisIndex,fl_main_loop_thisRepN,fl_main_loop_thisTrialN,fl_main_loop_thisN,fl_main_loop_thisIndex,conj_ins_loop_thisRepN,conj_ins_loop_thisTrialN,conj_ins_loop_thisN,conj_ins_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,targ_started,fl_key_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,fl_key_keys,fl_key_corr,fl_key_rt,mainback_started,key_resp_6_keys,key_resp_6_rt,back_2_stopped,text_5_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,x____,x__,x___1,weather,flanker,conjunction,test_mode,date,expName,psychopyVersion,frameRate
negative,neutral,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,3,93,12,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,2,neutral,negative,1171.8164112,1172.8092843,1172.8092843,1172.8257859,l,l,1,1.39063510000051,l,1,1.3654391,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
positive,neutral,2,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,4,94,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,2,neutral,positive,1174.2156812,1175.1939561,1175.1939561,1175.228159,j,j,1,1.2474430000002,j,1,1.22799629999827,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
neutral,negative,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,5,95,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,1,1,2,negative,neutral,1176.4627818,1177.4428077,1177.4428077,1177.4759993,k,k,1,3.26522069999919,k,1,3.25132329999724,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
negative,positive,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,6,96,6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,1,1,1,positive,negative,1181.7327266,1182.7090819,1182.7090819,1182.7427439,l,l,1,1.42362960000173,l,1,1.41763920000267,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
neutral,neutral,1,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,7,97,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,1,neutral,neutral,1184.1636536,1185.1430365,1185.1430365,1185.176644,k,k,1,2.34867819999999,k,1,2.33449149999979,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
negative,positive,2,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,8,98,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,2,positive,negative,1188.5165079,1189.5091741,1189.5091741,1189.5257142,l,l,1,2.37386559999868,l,1,2.3448363999978,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
positive,positive,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,9,99,2,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,1,positive,positive,1192.8994653,1193.8925129,1193.8925129,1193.9094379,j,j,1,1.43988810000155,j,1,1.40991039999972,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
positive,neutral,1,l,j,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,10,100,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,1,neutral,positive,1195.3477086,1196.3260523,1196.3260523,1196.3594643,j,j,1,1.23155290000068,j,1,1.22376690000056,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
neutral,neutral,2,k,k,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,11,101,10,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,2,neutral,neutral,1197.5801713,1198.5515537,1198.5515537,1198.5837185,k,k,1,1.89855549999993,k,1,1.88655000000108,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
negative,negative,1,j,l,1,0,1,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,12,102,0,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,main,2,2,1,negative,negative,1201.4824603,1202.4757103,1202.4757103,1202.4925069,l,l,1,1.62404249999963,l,1,1.59460180000133,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,113,68,여성,no,yes,yes,no,2023-11-28_14h16.23.060,experiment_2311,2022.2.5,60.0825052960943
