target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,None,0.23518519,-0.3101852,0,0,0,1.02183660033916,None,33.524101659999,None,84.8104496000014,None,84.8104496000014,None,-0.10092592,-0.08425926,0,0,0,0.0131443600112107,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,0,0,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,88.7245912000071,None,prac,1,1,1,neutral,positive,j,j,1,1.68632319998869,90.7598610999994,91.7748820999986,91.7297889000038,None,90.7598610999994,None,90.7598610999994,None,90.7598610999994,None,93.4363958000031,None,93.4363958000031,None,93.4363958000031,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,1,1,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,0.983780800001114,94.4499185000022,95.4730532999965,95.4299076000025,None,94.4499185000022,None,94.4499185000022,None,94.4499185000022,None,96.4190014599968,None,96.4190014599968,None,96.4190014599968,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,2,2,5,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,0.990386499994202,96.4377438999945,97.4466868000018,97.4111634000001,None,96.4377438999945,None,96.4377438999945,None,96.4377438999945,None,98.4135342599999,None,98.4135342599999,None,98.4135342599999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,3,3,16,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.846058800001629,98.4292701000086,99.4342172000033,99.4142566000082,None,98.4292701000086,None,98.4292701000086,None,98.4292701000086,None,100.261927260007,None,100.261927260007,None,100.261927260007,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,4,4,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.95559470000444,100.280096600007,101.290112700008,101.263612700001,None,100.280096600007,None,100.280096600007,None,100.280096600007,None,102.218717860008,None,102.218717860008,None,102.218717860008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,0.962150099992868,102.234009100008,103.249301699994,103.213742399996,None,102.234009100008,None,102.234009100008,None,102.234009100008,None,104.183437060006,None,104.183437060006,None,104.183437060006,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,6,6,12,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,0.730530100001488,104.197984900005,105.196779300008,105.180507700003,None,104.197984900005,None,104.197984900005,None,104.197984900005,None,105.915799960008,None,105.915799960008,None,105.915799960008,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,7,7,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,neutral,k,k,1,0.834430200004135,105.931287600004,106.958423200005,106.913256700005,None,105.931287600004,None,105.931287600004,None,105.931287600004,None,107.752368859999,None,107.752368859999,None,107.752368859999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,8,8,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,positive,negative,l,l,1,0.945850600008271,107.767938599995,108.7899492,108.747068099998,None,107.767938599995,None,107.767938599995,None,107.767938599995,None,109.700900260004,None,109.700900260004,None,109.700900260004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,111,23,Female,2022-05-03_20h03.40.449,Boat,2022.1.1,59.9763813009901
