target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,14.9704654000234,32.5659469800536,None,47.5631011000369,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,0,0,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,51.5822250000201,None,prac,2,2,2,positive,positive,j,j,1,2.22003080009017,53.5956972000422,54.5988246999914,54.5821890999796,None,53.5956972000422,None,53.5956972000422,None,53.5956972000422,None,56.8143003999721,None,56.8143003999721,None,56.8143003999721,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,1,1,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,1.03788179997355,57.8295812000288,58.8295366000384,58.8137634000741,None,57.8295812000288,None,57.8295812000288,None,57.8295812000288,None,59.8629029799718,None,59.8629029799718,None,59.8629029799718,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,2,2,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,j,j,1,0.914838599972427,59.8649262000108,60.879566000076,60.8629121000413,None,59.8649262000108,None,59.8649262000108,None,59.8649262000108,None,61.7807165800128,None,61.7807165800128,None,61.7807165800128,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,3,3,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,negative,l,l,1,0.883449499960989,61.7864604999777,62.7987076999852,62.7821040999843,None,61.7864604999777,None,61.7864604999777,None,61.7864604999777,None,63.665423580003,None,63.665423580003,None,63.665423580003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,4,4,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.829534900025465,63.6686083000386,64.6819934999803,64.6653441999806,None,63.6686083000386,None,63.6686083000386,None,63.6686083000386,None,65.4961559800664,None,65.4961559800664,None,65.4961559800664,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,5,5,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,0.915496300091036,65.4997581000207,66.5152144000167,66.4986400000053,None,65.4997581000207,None,65.4997581000207,None,65.4997581000207,None,67.4130813799798,None,67.4130813799798,None,67.4130813799798,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,6,6,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,1.014267200022,67.431975100073,68.431901199976,68.415291900048,None,67.431975100073,None,67.431975100073,None,67.431975100073,None,69.4293074800167,None,69.4293074800167,None,69.4293074800167,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,7,7,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,l,l,1,0.982041600043885,69.4294184000464,70.4293265000451,70.4293265000451,None,69.4294184000464,None,69.4294184000464,None,69.4294184000464,None,71.4126665799646,None,71.4126665799646,None,71.4126665799646,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,8,8,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,l,l,1,0.968535299994983,71.4184106000466,72.4318155000219,72.415233500069,None,71.4184106000466,None,71.4184106000466,None,71.4184106000466,None,73.3819505799562,None,73.3819505799562,None,73.3819505799562,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_13h59.40.750,Main,2022.1.1,59.8303689279525
