target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,15.8205411999952,30.6924281399581,None,46.54460439994,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,0,0,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,49.8249630000209,None,prac,2,2,2,negative,negative,l,l,1,1.53026299993508,51.8283809999702,52.8414714999963,52.8247764999978,None,51.8283809999702,None,51.8283809999702,None,51.8283809999702,None,54.359225400025,None,54.359225400025,None,54.359225400025,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,1,1,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,l,l,1,0.884558500023559,55.359416399966,56.3605503999861,56.3439418999478,None,55.359416399966,None,55.359416399966,None,55.359416399966,None,57.2416719399509,None,57.2416719399509,None,57.2416719399509,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,2,2,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,positive,j,j,1,1.16711729997769,57.2455414999276,58.2604876999976,58.2438889000332,None,57.2455414999276,None,57.2455414999276,None,57.2455414999276,None,59.4105692399782,None,59.4105692399782,None,59.4105692399782,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,3,3,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.795979299931787,59.4144388999557,60.4270237999735,60.4105183000211,None,59.4144388999557,None,59.4144388999557,None,59.4144388999557,None,61.2078505399288,None,61.2078505399288,None,61.2078505399288,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,4,4,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,negative,l,l,1,0.73208889993839,61.2078743999591,62.2078865999356,62.2078865999356,None,61.2078743999591,None,61.2078743999591,None,61.2078743999591,None,62.9412525399704,None,62.9412525399704,None,62.9412525399704,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,5,5,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,neutral,k,k,1,0.699948999914341,62.944562699995,63.9578682000283,63.9412240999518,None,62.944562699995,None,62.944562699995,None,62.944562699995,None,64.6411756399204,None,64.6411756399204,None,64.6411756399204,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,6,6,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,negative,l,l,1,0.747288499958813,64.6455860999413,65.6604251000099,65.6438241000287,None,64.6455860999413,None,64.6455860999413,None,64.6455860999413,None,66.3911943399464,None,66.3911943399464,None,66.3911943399464,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,7,7,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,0.649102499941364,66.3974984999513,67.4103056000313,67.3937047999352,None,66.3974984999513,None,66.3974984999513,None,66.3974984999513,None,68.0414544399711,None,68.0414544399711,None,68.0414544399711,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,1.08137599995825,68.0450718000066,69.0602509999881,69.0436432999559,None,68.0450718000066,None,68.0450718000066,None,68.0450718000066,None,70.1244043399231,None,70.1244043399231,None,70.1244043399231,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,605,2023-11-14_16h57.12.397,Main,2022.1.1,60.0245500462228
