target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,12.2904338000808,29.7742685299483,None,42.0907820999855,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,0,0,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,45.9739272999577,None,prac,2,2,2,positive,positive,l,l,1,1.55478570004925,48.0004092999734,49.004648400005,48.9879645999754,None,48.0004092999734,None,48.0004092999734,None,48.0004092999734,None,50.5577273999806,None,50.5577273999806,None,50.5577273999806,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,1,1,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,j,j,1,0.785750700044446,51.555963999941,52.5571354000131,52.540476599941,None,51.555963999941,None,51.555963999941,None,51.555963999941,None,53.3390775299515,None,53.3390775299515,None,53.3390775299515,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,2,2,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,neutral,k,k,1,0.749319800059311,53.3451649999479,54.3571002999088,54.3405143999262,None,53.3451649999479,None,53.3451649999479,None,53.3451649999479,None,55.0903277299251,None,55.0903277299251,None,55.0903277299251,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,3,3,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.663386199972592,55.0941506999079,56.1069357999368,56.0904026000062,None,55.0941506999079,None,55.0941506999079,None,55.0941506999079,None,56.7549538299092,None,56.7549538299092,None,56.7549538299092,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,4,4,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,j,j,1,0.681430099997669,56.7608668999746,57.773937299964,57.75486310001,None,56.7608668999746,None,56.7608668999746,None,56.7608668999746,None,58.4377219299669,None,58.4377219299669,None,58.4377219299669,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,5,5,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,l,l,1,0.66555709997192,58.4377290999983,59.4377788999118,59.4377788999118,None,58.4377290999983,None,58.4377290999983,None,58.4377290999983,None,60.1044292299659,None,60.1044292299659,None,60.1044292299659,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,6,6,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,l,l,1,0.667386599932797,60.1110683999723,61.123635899974,61.1047564999899,None,60.1110683999723,None,60.1110683999723,None,60.1110683999723,None,61.7720113299903,None,61.7720113299903,None,61.7720113299903,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,7,7,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,negative,j,j,1,0.733253299957141,61.7781242999481,62.7903279999737,62.7736835000105,None,61.7781242999481,None,61.7781242999481,None,61.7781242999481,None,63.5068954299088,None,63.5068954299088,None,63.5068954299088,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,8,8,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,j,j,1,0.645310900057666,63.5113943999168,64.5236207999988,64.5068173999898,None,63.5113943999168,None,63.5113943999168,None,63.5113943999168,None,65.1546679299674,None,65.1546679299674,None,65.1546679299674,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,204,2023-04-27_14h52.15.208,Main,2022.1.1,60.0598436084021
