target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,block_thisRepN,block_thisTrialN,block_thisN,block_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,image_8_started,start_wait_started,key_resp_9_started,key_resp_9_keys,key_resp_9_rt,fl_inst_resp_keys,fl_inst_resp_rt,image_4_started,image_5_started,image_6_started,back_2_started,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fix_fl_started,j_button_started,k_button_started,l_button_started,targ_started,fix_fl_stopped,fl_ans,fl_res,fl_corr,fl_rt,j_button2_started,k_button2_started,l_button2_started,j_button2_stopped,k_button2_stopped,l_button2_stopped,mainback_started,mouse_6_started,image_7_started,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,id_,date,expName,psychopyVersion,frameRate
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,1,0,18,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,neutral,positive,145.247884399956,145.247884399956,145.247884399956,145.247884399956,146.249437499791,146.281620799797,j,j,1,2.74281090009026,148.982547999825,148.982547999825,148.982547999825,150.015354699921,150.015354699921,150.015354699921,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,positive,2,j,l,NaN,NaN,NaN,NaN,1,1,19,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,positive,negative,150.015354699921,150.015354699921,150.015354699921,150.015354699921,151.015426900005,151.048007299891,l,l,1,1.70968019985594,152.748502099887,152.748502099887,152.748502099887,152.748502099887,152.748502099887,152.748502099887,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,1,2,20,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,neutral,positive,152.748502099887,152.748502099887,152.748502099887,152.748502099887,153.715173899895,153.782661999809,j,j,1,2.40266690007411,156.115401699906,156.115401699906,156.115401699906,157.149079299998,157.149079299998,157.149079299998,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,positive,2,l,j,NaN,NaN,NaN,NaN,1,3,21,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,positive,positive,157.149079299998,157.149079299998,157.149079299998,157.149079299998,158.148665599991,158.182048199931,j,k,0,2.51187140005641,160.667241299991,160.667241299991,160.667241299991,161.715828799875,161.715828799875,161.715828799875,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,negative,1,l,j,NaN,NaN,NaN,NaN,1,4,22,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,negative,positive,161.715828799875,161.715828799875,161.715828799875,161.715828799875,162.715866399929,162.748903999804,j,k,0,3.44671180006117,166.149928399827,166.149928399827,166.149928399827,167.18314410001,167.18314410001,167.18314410001,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,1,5,23,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,positive,neutral,167.18314410001,167.18314410001,167.18314410001,167.18314410001,168.1828828,168.215990099823,k,k,1,3.3460321999155,171.516437199898,171.516437199898,171.516437199898,172.551231099991,172.551231099991,172.551231099991,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,1,6,24,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,neutral,negative,172.551231099991,172.551231099991,172.551231099991,172.551231099991,173.550858099945,173.583313199924,l,l,1,1.84351680008695,175.416647699894,175.416647699894,175.416647699894,175.416647699894,175.416647699894,175.416647699894,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,1,7,25,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,negative,neutral,175.416647699894,175.416647699894,175.416647699894,175.416647699894,176.416463600006,176.449646199821,k,k,1,2.6646286000032,179.051226799842,179.051226799842,179.051226799842,180.08374459995,180.08374459995,180.08374459995,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,8,26,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,1,negative,neutral,180.08374459995,180.08374459995,180.08374459995,180.08374459995,181.083582799882,181.117206899915,k,k,1,2.84472619998269,183.918235399993,183.918235399993,183.918235399993,184.951395299984,184.951395299984,184.951395299984,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
negative,positive,1,j,l,NaN,NaN,NaN,NaN,1,9,27,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,positive,negative,184.951395299984,184.951395299984,184.951395299984,184.951395299984,185.950310499873,185.983774299966,l,l,1,3.16192089999095,189.101927999873,189.101927999873,189.101927999873,190.134514799807,190.134514799807,190.134514799807,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,1,10,28,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,1,positive,neutral,190.134514799807,190.134514799807,190.134514799807,190.134514799807,191.117016499862,191.150382099906,k,k,1,2.44350399984978,193.551360199926,193.551360199926,193.551360199926,194.584352899808,194.584352899808,194.584352899808,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,11,29,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,2,2,2,negative,positive,194.584352899808,194.584352899808,194.584352899808,194.584352899808,195.58590779989,195.61705819983,j,j,1,11.8391013001092,207.402505399892,207.402505399892,207.402505399892,208.435247699963,208.435247699963,208.435247699963,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,1,12,30,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,prac,1,1,2,neutral,neutral,208.435247699963,208.435247699963,208.435247699963,208.435247699963,209.435280299978,209.467750699958,k,k,1,1.84230979997665,211.302189199952,211.302189199952,211.302189199952,211.302189199952,211.302189199952,211.302189199952,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,301,2023-08-15_12h42.08.143,Main,2023.1.2,None
