target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,55.2823123000562,29.3484380799579,None,84.6616310999962,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,0,0,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,87.8974310000194,None,prac,2,2,2,negative,positive,j,j,1,2.00181829999201,89.9127745999722,90.9140043000225,90.897418999928,None,89.9127745999722,None,89.9127745999722,None,89.9127745999722,None,92.9113621999277,None,92.9113621999277,None,92.9113621999277,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,1,1,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,0.720292199985124,93.9113948999438,94.9114191000117,94.8947295999387,None,93.9113948999438,None,93.9113948999438,None,93.9113948999438,None,95.6279651799938,None,95.6279651799938,None,95.6279651799938,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,2,2,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,negative,l,l,1,0.784916199976578,95.6291274999967,96.6305765999714,96.6305765999714,None,95.6291274999967,None,95.6291274999967,None,95.6291274999967,None,97.4144551799633,None,97.4144551799633,None,97.4144551799633,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,3,3,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,neutral,k,k,1,0.629065999994054,97.4187302000355,98.430507699959,98.413934799959,None,97.4187302000355,None,97.4187302000355,None,97.4187302000355,None,99.0449568799464,None,99.0449568799464,None,99.0449568799464,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,4,4,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.550960000022314,99.0486959000118,100.063772600028,100.047208199976,None,99.0486959000118,None,99.0486959000118,None,99.0486959000118,None,100.597198879952,None,100.597198879952,None,100.597198879952,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,5,5,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,positive,j,j,1,0.515293899923563,100.601176799973,101.613762399997,101.597155599971,None,100.601176799973,None,100.601176799973,None,100.601176799973,None,102.113604979962,None,102.113604979962,None,102.113604979962,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.646922199986875,102.117032299982,103.130386300036,103.113747199997,None,102.117032299982,None,102.117032299982,None,102.117032299982,None,103.762031179992,None,103.762031179992,None,103.762031179992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,7,7,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,0.897889600018971,103.768071099999,104.777783800033,104.761098799994,None,103.768071099999,None,103.768071099999,None,103.768071099999,None,105.661077079969,None,105.661077079969,None,105.661077079969,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,0.481916999910027,105.661173700006,106.661171199987,106.661171199987,None,105.661173700006,None,105.661173700006,None,105.661173700006,None,107.144416780001,None,107.144416780001,None,107.144416780001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,9,9,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,negative,l,l,1,0.702806200017221,107.145047900034,108.144474999979,108.144474999979,None,107.145047900034,None,107.145047900034,None,107.145047900034,None,108.847107279953,None,108.847107279953,None,108.847107279953,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,10,10,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,0.713644599891268,108.851823900011,109.863596500014,109.846958799986,None,108.851823900011,None,108.851823900011,None,108.851823900011,None,110.563540780009,None,110.563540780009,None,110.563540780009,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,11,11,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,j,j,1,0.714465999975801,110.567613299936,111.580218299991,111.563636399922,None,110.567613299936,None,110.567613299936,None,110.567613299936,None,112.280236679967,None,112.280236679967,None,112.280236679967,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,12,12,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,neutral,k,k,1,0.565477499971166,112.284184999997,113.296850599931,113.280294799944,None,112.284184999997,None,112.284184999997,None,112.284184999997,None,113.846713079978,None,113.846713079978,None,113.846713079978,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,13,13,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.498644200037234,113.85018129996,114.863523399923,114.84693140001,None,113.85018129996,None,113.85018129996,None,113.85018129996,None,115.346653979993,None,115.346653979993,None,115.346653979993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,14,14,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.462812199955806,115.349442999926,116.360910399933,116.344223599997,None,115.349442999926,None,115.349442999926,None,115.349442999926,None,116.810818179999,None,116.810818179999,None,116.810818179999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,307,2023-06-28_14h38.17.000,Main,2022.1.1,59.999699985246
