distractor,target,set,ans1,ans2,rep_loop4_thisRepN,rep_loop4_thisTrialN,rep_loop4_thisN,rep_loop4_thisIndex,st2_prac_loop_thisRepN,st2_prac_loop_thisTrialN,st2_prac_loop_thisN,st2_prac_loop_thisIndex,st2_main_loop_thisRepN,st2_main_loop_thisTrialN,st2_main_loop_thisN,st2_main_loop_thisIndex,image_4_started,image_4_stopped,sound_2_started,sound_2_stopped,key_resp_3_keys,key_resp_3_rt,image_5_started,image_5_stopped,st_prac_back_started,st_prac_back_stopped,st_prac_text_started,st_prac_text_stopped,st_fix_back_started,st_fix_back_stopped,st_fix_2_started,st_fix_2_stopped,main_prac,st_ans,st_res,st_corr,st_rt,st_back_started,st_back_stopped,st2_resp_keys,st2_resp_corr,st_main_back_started,st_main_back_stopped,st_main_text_started,st_main_text_stopped,mouse_4_x,mouse_4_y,mouse_4_leftButton,mouse_4_midButton,mouse_4_rightButton,mouse_4_started,mouse_4_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,29.2376674000407,None,33.9745929200784,None,space,55.8287902999436,89.821136899991,None,90.9734880001051,None,90.9734880001051,None,92.9734577999916,None,92.9734577999916,None,prac,None,None,1,1.5047972999746,94.9914503000909,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,red,2,None,None,NaN,NaN,NaN,NaN,0,1,1,1,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,k,0,1.12030479998793,97.506625500042,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,2,2,2,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01701239997055,100.639817500021,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,yellow,1,None,k,NaN,NaN,NaN,NaN,0,3,3,3,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.01505909999833,102.653873000061,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,blue,2,None,k,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.967211399925873,104.67056940007,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,blue,1,None,k,NaN,NaN,NaN,NaN,0,5,5,5,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.05799649993423,106.639820800046,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,6,6,6,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49292370001785,108.702049400075,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,red,1,None,None,NaN,NaN,NaN,NaN,0,7,7,7,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49335560004693,111.190873600077,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,8,8,8,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,1.06723200005945,113.687039800105,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,yellow,1,k,None,NaN,NaN,NaN,NaN,0,9,9,9,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.46693640004378,115.754045900074,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,yellow,2,None,k,NaN,NaN,NaN,NaN,0,10,10,10,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,k,k,1,0.830258700065315,118.220209200052,None,None,0,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,yellow,2,k,None,NaN,NaN,NaN,NaN,0,11,11,11,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50200999993831,120.053541600006,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
negative,red,2,None,None,NaN,NaN,NaN,NaN,0,12,12,12,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.4960283000255,122.556080700015,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,red,1,None,None,NaN,NaN,NaN,NaN,0,13,13,13,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.49878420005552,125.055974000017,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
positive,blue,2,k,None,NaN,NaN,NaN,NaN,0,14,14,14,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,prac,None,None,1,1.50180219998583,127.553347800043,None,None,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,501,2023-11-12_14h12.06.805,Main,2022.1.1,60.0240096049824
