target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,12.6614278000779,22.0799442799878,None,34.7631099000573,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,0,0,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,38.262951200013,None,prac,2,2,1,positive,negative,l,j,0,1.26375859999098,40.2793348999694,41.2937337000621,41.2770628000144,None,40.2793348999694,None,40.2793348999694,None,40.2793348999694,None,42.5463917000452,None,42.5463917000452,None,42.5463917000452,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,1,1,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,0.736870500026271,43.545729400008,44.5461677999701,44.5295704000164,None,43.545729400008,None,43.545729400008,None,43.545729400008,None,45.2795509799733,None,45.2795509799733,None,45.2795509799733,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,2,2,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.699373299954459,45.2830710000126,46.2961428000126,46.2795900000492,None,45.2830710000126,None,45.2830710000126,None,45.2830710000126,None,46.9796210799948,None,46.9796210799948,None,46.9796210799948,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,3,3,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,0.679184400010854,46.9835540000349,47.9961098999484,47.979487100034,None,46.9835540000349,None,46.9835540000349,None,46.9835540000349,None,48.6611257799785,None,48.6611257799785,None,48.6611257799785,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,4,4,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,positive,neutral,k,k,1,0.664380899979733,48.6671518000076,49.6881050999509,49.6660915999673,None,48.6671518000076,None,48.6671518000076,None,48.6671518000076,None,50.326784680027,None,50.326784680027,None,50.326784680027,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,0.58214199997019,50.3281536999857,51.3435249000322,51.3268587000202,None,50.3281536999857,None,50.3281536999857,None,50.3281536999857,None,51.9101986800204,None,51.9101986800204,None,51.9101986800204,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,6,6,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,negative,l,l,1,0.582199700060301,51.9104523999849,52.9101994000375,52.9101994000375,None,51.9104523999849,None,51.9104523999849,None,51.9104523999849,None,53.4935136799584,None,53.4935136799584,None,53.4935136799584,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,7,7,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.615322800003923,53.4968601999572,54.4960654999595,54.4960654999595,None,53.4968601999572,None,53.4968601999572,None,53.4968601999572,None,55.1101786800544,None,55.1101786800544,None,55.1101786800544,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,8,8,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,0.633821800001897,55.1166941999691,56.1293752000201,56.1126989000477,None,55.1166941999691,None,55.1166941999691,None,55.1166941999691,None,56.7461100800545,None,56.7461100800545,None,56.7461100800545,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,609,2023-11-15_10h31.09.187,Main,2022.1.1,60.0811335790608
