target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,9,9,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,j,j,1,0.681426799972542,62.2245414999779,63.2378935000161,63.2213063000236,None,62.2245414999779,None,62.2245414999779,None,62.2245414999779,None,63.904556179978,None,63.904556179978,None,63.904556179978,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,10,10,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,positive,j,j,1,0.630822200095281,63.9074611000251,64.9212205000222,64.9045927000698,None,63.9074611000251,None,63.9074611000251,None,63.9074611000251,None,65.5366834799992,None,65.5366834799992,None,65.5366834799992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,11,11,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,0.599739099969156,65.5425700000487,66.5544838000787,66.5379081000574,None,65.5425700000487,None,65.5425700000487,None,65.5425700000487,None,67.137768979976,None,67.137768979976,None,67.137768979976,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,12,12,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,0.596456400002353,67.1407554000616,68.1467222999781,68.134413999971,None,67.1407554000616,None,67.1407554000616,None,67.1407554000616,None,68.7352888800437,None,68.7352888800437,None,68.7352888800437,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,13,13,3,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,negative,l,l,1,0.716167800012045,68.7355135000544,69.7352340000216,69.7352340000216,None,68.7355135000544,None,68.7355135000544,None,68.7355135000544,None,70.4519669799833,None,70.4519669799833,None,70.4519669799833,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,14,14,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.697693099966273,70.4561962999869,71.4711026999867,71.4544804000761,None,70.4561962999869,None,70.4561962999869,None,70.4561962999869,None,72.1522839800222,None,72.1522839800222,None,72.1522839800222,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,15,15,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,0.634294199990109,72.1584943999769,73.171069300035,73.154465300031,None,72.1584943999769,None,72.1584943999769,None,72.1584943999769,None,73.7876953800209,None,73.7876953800209,None,73.7876953800209,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,16,16,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,l,l,1,0.732000599964522,73.7905410000822,74.8043421000475,74.7877298999811,None,73.7905410000822,None,73.7905410000822,None,73.7905410000822,None,75.5210445800098,None,75.5210445800098,None,75.5210445800098,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,17,17,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,0.713139300001785,75.5240662000142,76.5376567000058,76.5210516999941,None,75.5240662000142,None,75.5240662000142,None,75.5240662000142,None,77.2354928800836,None,77.2354928800836,None,77.2354928800836,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,1,0,18,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.647981600021012,77.241032000049,78.2461160999956,78.2240696999943,None,77.241032000049,None,77.241032000049,None,77.241032000049,None,78.8850193799939,None,78.8850193799939,None,78.8850193799939,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,1,19,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.701753699919209,78.8850076000672,79.8850581999868,79.8850581999868,None,78.8850076000672,None,78.8850076000672,None,78.8850076000672,None,80.5851195800118,None,80.5851195800118,None,80.5851195800118,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
negative,positive,2,j,l,NaN,NaN,NaN,NaN,1,2,20,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,negative,l,l,1,1.1296788000036,80.5914595000213,81.6042304000584,81.5876366000157,None,80.5914595000213,None,80.5914595000213,None,80.5914595000213,None,82.7187765800394,None,82.7187765800394,None,82.7187765800394,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,3,21,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,0.650612300029024,82.7240478000604,83.7374540000455,83.7208661000477,None,82.7240478000604,None,82.7240478000604,None,82.7240478000604,None,84.3708166799974,None,84.3708166799974,None,84.3708166799974,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,1,4,22,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,neutral,k,k,1,0.546623199945316,84.3747014000546,85.3874500000384,85.3708128000144,None,84.3747014000546,None,84.3747014000546,None,84.3747014000546,None,85.9186830799794,None,85.9186830799794,None,85.9186830799794,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,1,5,23,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.517181600094773,85.9216882999754,86.9206967999926,86.9040786999976,None,85.9216882999754,None,85.9216882999754,None,85.9216882999754,None,87.4374319800176,None,87.4374319800176,None,87.4374319800176,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,201,2023-04-24_10h25.06.662,Main,2022.1.1,60.3046470047033
