target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,50.9032536998857,16.5504314199556,None,67.4905527001247,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
,,NaN,,,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,space,2.07234499999322,73.4877335199621,None,75.5824814999942,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
negative,negative,1,j,l,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,78.8180323999841,None,prac,1,1,1,negative,negative,l,l,1,2.75888430001214,80.8274541001301,81.8320355999749,81.8153739001136,None,80.8274541001301,None,80.8274541001301,None,80.8274541001301,None,84.5867850000504,None,84.5867850000504,None,84.5867850000504,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,1,1,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,1.1511218000669,85.6006003001239,86.6179313999601,86.5825847000815,None,85.6006003001239,None,85.6006003001239,None,85.6006003001239,None,87.7486512200907,None,87.7486512200907,None,87.7486512200907,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,2,2,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,0.931629499886185,87.7535802000202,88.7678011001553,88.751297699986,None,87.7535802000202,None,87.7535802000202,None,87.7535802000202,None,89.6819588200655,None,89.6819588200655,None,89.6819588200655,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,3,3,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,neutral,k,k,1,0.933272999944165,89.68629959994,90.7013097000308,90.6825960001443,None,89.68629959994,None,89.68629959994,None,89.68629959994,None,91.6174591200892,None,91.6174591200892,None,91.6174591200892,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,4,4,15,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,negative,l,j,0,1.16259610000998,91.6217747000046,92.6318308000918,92.6151650000829,None,91.6217747000046,None,91.6217747000046,None,91.6217747000046,None,93.7818154999986,None,93.7818154999986,None,93.7818154999986,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,5,5,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,negative,l,l,1,0.884802300017327,94.7821093001403,95.7843925999478,95.7677943999879,None,94.7821093001403,None,94.7821093001403,None,94.7821093001403,None,96.6651431199629,None,96.6651431199629,None,96.6651431199629,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,6,6,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,0.918804399902001,96.669003300136,97.6845669001341,97.6677912999876,None,96.669003300136,None,96.669003300136,None,96.669003300136,None,98.5840232200921,None,98.5840232200921,None,98.5840232200921,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,7,7,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,positive,j,j,1,1.04678099998273,98.5887220001314,99.5989831001498,99.5822338999715,None,98.5887220001314,None,98.5887220001314,None,98.5887220001314,None,100.633920220053,None,100.633920220053,None,100.633920220053,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,8,8,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,neutral,k,k,1,1.41304220003076,100.636792600155,101.648932199925,101.634546800051,None,100.636792600155,None,100.636792600155,None,100.636792600155,None,103.047996519925,None,103.047996519925,None,103.047996519925,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,0,9,9,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,0.681191600160673,103.064971999964,104.064942100085,104.048275300069,None,103.064971999964,None,103.064971999964,None,103.064971999964,None,104.731357920077,None,104.731357920077,None,104.731357920077,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,10,10,1,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,k,1,0.615805899957195,104.734132000012,105.734197299927,105.717482700013,None,104.734132000012,None,104.734132000012,None,104.734132000012,None,106.348281819932,None,106.348281819932,None,106.348281819932,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,0,11,11,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.652456600219011,106.351502400124,107.350841500098,107.350841500098,None,106.351502400124,None,106.351502400124,None,106.351502400124,None,108.000469819969,None,108.000469819969,None,108.000469819969,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,13,2022-05-11_17h33.59.064,Main,2022.1.1,60.2063996228648
