target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_started,mouse_stopped,sound_1_started,sound_1_stopped,no_text_started,no_text_stopped,yes_text_started,yes_text_stopped,mouse_2_x,mouse_2_y,mouse_2_leftButton,mouse_2_midButton,mouse_2_rightButton,mouse_2_started,mouse_2_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,id_,age_,gender_,date,expName,psychopyVersion,frameRate
,,NaN,,,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,None,-0.09259259,-0.38796297,0,0,0,1.02395749000243,None,29.9674381900003,None,85.2948544999999,None,85.2948544999999,None,-0.07037037,-0.07685185,0,0,0,0.0122401899998295,None,NaN,,,NaN,NaN,NaN,,,,,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
negative,positive,2,j,l,NaN,NaN,NaN,NaN,0,0,0,15,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,88.8572446999997,None,prac,2,2,2,positive,negative,l,l,1,1.51607419999982,90.9151517999999,91.9321574000005,91.8943553999998,None,90.9151517999999,None,90.9151517999999,None,90.9151517999999,None,93.4120835000003,None,93.4120835000003,None,93.4120835000003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
positive,negative,2,l,j,NaN,NaN,NaN,NaN,0,1,1,14,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,2,negative,positive,j,j,1,1.35425620000024,94.4482994,95.4555001999997,95.4360251999997,None,94.4482994,None,94.4482994,None,94.4482994,None,96.7690648899997,None,96.7690648899997,None,96.7690648899997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,2,2,6,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,1.50594369999999,96.8080071000004,97.8172428999997,97.7981219000003,None,96.8080071000004,None,96.8080071000004,None,96.8080071000004,None,99.2870496000005,None,99.2870496000005,None,99.2870496000005,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,3,3,13,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.724847399999817,100.3200241,101.337464,101.2975183,None,100.3200241,None,100.3200241,None,100.3200241,None,102.02022809,None,102.02022809,None,102.02022809,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
neutral,neutral,1,k,k,NaN,NaN,NaN,NaN,0,4,4,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,neutral,neutral,k,l,0,0.920191999999588,102.0506163,103.0562644,103.0366888,None,102.0506163,None,102.0506163,None,102.0506163,None,103.9527085,None,103.9527085,None,103.9527085,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,0,5,5,8,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,1.44019659999958,104.9894747,105.9945644,105.9762504,None,104.9894747,None,104.9894747,None,104.9894747,None,107.39851489,None,107.39851489,None,107.39851489,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,6,6,17,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.814698099999987,107.4282932,108.4460134,108.4268666,None,107.4282932,None,107.4282932,None,107.4282932,None,109.22020149,None,109.22020149,None,109.22020149,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
negative,neutral,1,j,l,NaN,NaN,NaN,NaN,0,7,7,3,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,1,1,1,neutral,negative,l,l,1,0.93340679999983,109.2535773,110.2666788,110.2470921,None,109.2535773,None,109.2535773,None,109.2535773,None,111.15469289,None,111.15469289,None,111.15469289,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
positive,positive,2,l,j,NaN,NaN,NaN,NaN,0,8,8,11,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.772549199999958,111.1764117,112.1988485,112.1581704,None,111.1764117,None,111.1764117,None,111.1764117,None,112.93172969,None,112.93172969,None,112.93172969,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,,209,25,Female,2022-05-04_15h24.46.611,Main,2022.1.1,60.0426783358144
