target,distractor,set,ans1,ans2,rep_loop2_thisRepN,rep_loop2_thisTrialN,rep_loop2_thisN,rep_loop2_thisIndex,flanker_prac_loop_thisRepN,flanker_prac_loop_thisTrialN,flanker_prac_loop_thisN,flanker_prac_loop_thisIndex,flanker_main_loop_thisRepN,flanker_main_loop_thisTrialN,flanker_main_loop_thisN,flanker_main_loop_thisIndex,fl_inst_resp_keys,fl_inst_resp_rt,sound_1_started,sound_1_stopped,image_4_started,image_4_stopped,back_2_started,back_2_stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl_started,fix_fl_stopped,targ_started,targ_stopped,j_button_started,j_button_stopped,k_button_started,k_button_stopped,l_button_started,l_button_stopped,j_button2_started,j_button2_stopped,k_button2_started,k_button2_stopped,l_button2_started,l_button2_stopped,mainback_started,mainback_stopped,key_resp_keys,key_resp_rt,mouse_6_x,mouse_6_y,mouse_6_leftButton,mouse_6_midButton,mouse_6_rightButton,mouse_6_started,mouse_6_stopped,text_2_started,text_2_stopped,id_,date,expName,psychopyVersion,frameRate
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,0,9,9,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.598485900001833,107.584675499995,108.591504600015,108.575005699997,None,107.584675499995,None,107.584675499995,None,107.584675499995,None,109.172644769991,None,109.172644769991,None,109.172644769991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,0,10,10,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.965055300010135,109.197050499992,110.2056515,110.172360299999,None,109.197050499992,None,109.197050499992,None,109.197050499992,None,111.138907369997,None,111.138907369997,None,111.138907369997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,positive,1,j,l,NaN,NaN,NaN,NaN,0,11,11,6,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,negative,l,l,1,0.899143400019966,111.138946899999,112.141540300014,112.141540300014,None,111.138946899999,None,111.138946899999,None,111.138946899999,None,113.039236969998,None,113.039236969998,None,113.039236969998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,0,12,12,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,positive,neutral,k,k,1,0.814859700010857,113.045873900002,114.058212600008,114.041484400019,None,113.045873900002,None,113.045873900002,None,113.045873900002,None,114.855543469996,None,114.855543469996,None,114.855543469996,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,0,13,13,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,0.868972299998859,114.858960300015,115.858144099999,115.841496400011,None,114.858960300015,None,114.858960300015,None,114.858960300015,None,116.724642269997,None,116.724642269997,None,116.724642269997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,positive,1,l,j,NaN,NaN,NaN,NaN,0,14,14,2,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,positive,j,k,0,0.797602000006009,116.7291272,117.74136070002,117.72485150001,None,116.7291272,None,116.7291272,None,116.7291272,None,118.522514000011,None,118.522514000011,None,118.522514000011,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,negative,2,j,l,NaN,NaN,NaN,NaN,0,15,15,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,l,l,1,1.08162700000685,119.540892599995,120.557912599994,120.522366599995,None,119.540892599995,None,119.540892599995,None,119.540892599995,None,121.605635069995,None,121.605635069995,None,121.605635069995,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,0,16,16,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,neutral,k,k,1,1.14869470000849,121.609126700001,122.622346499993,122.6078003,None,121.609126700001,None,121.609126700001,None,121.609126700001,None,123.755593269991,None,123.755593269991,None,123.755593269991,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,negative,1,l,j,NaN,NaN,NaN,NaN,0,17,17,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,positive,j,j,1,0.800698500010185,123.759041500016,124.772307600011,124.755717699998,None,123.759041500016,None,123.759041500016,None,123.759041500016,None,125.557678769997,None,125.557678769997,None,125.557678769997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,neutral,2,l,j,NaN,NaN,NaN,NaN,1,0,18,17,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,positive,j,j,1,0.829960300005041,125.56039150001,126.572307099996,126.557802700001,None,125.56039150001,None,125.56039150001,None,125.56039150001,None,127.388901970015,None,127.388901970015,None,127.388901970015,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,positive,2,k,k,NaN,NaN,NaN,NaN,1,1,19,13,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,neutral,k,k,1,0.799301699997159,127.392135000002,128.407646100008,128.38893060002,None,127.392135000002,None,127.392135000002,None,127.392135000002,None,129.189299670004,None,129.189299670004,None,129.189299670004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,neutral,2,j,l,NaN,NaN,NaN,NaN,1,2,20,12,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,neutral,negative,l,l,1,0.783801799989305,129.195452500018,130.205252600019,130.18858430002,None,129.195452500018,None,129.195452500018,None,129.195452500018,None,130.971844469997,None,130.971844469997,None,130.971844469997,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,negative,1,k,k,NaN,NaN,NaN,NaN,1,3,21,7,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,neutral,k,k,1,0.815072400000645,130.976993999997,131.988722600014,131.971986699995,None,130.976993999997,None,130.976993999997,None,130.976993999997,None,132.790944270018,None,132.790944270018,None,132.790944270018,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,positive,2,l,j,NaN,NaN,NaN,NaN,1,4,22,11,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,positive,positive,j,j,1,0.764174799987813,132.795121300005,133.807665300003,133.791185400012,None,132.795121300005,None,132.795121300005,None,132.795121300005,None,134.557231669998,None,134.557231669998,None,134.557231669998,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,neutral,1,l,j,NaN,NaN,NaN,NaN,1,5,23,8,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,neutral,positive,j,j,1,0.896680200006813,134.562359500007,135.574426000006,135.557795400004,None,134.562359500007,None,134.562359500007,None,134.562359500007,None,136.455421370003,None,136.455421370003,None,136.455421370003,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,negative,2,k,k,NaN,NaN,NaN,NaN,1,6,24,16,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,neutral,k,k,1,0.804526500025531,136.460966800019,137.474369800009,137.441008299997,None,136.460966800019,None,136.460966800019,None,136.460966800019,None,138.257695769993,None,138.257695769993,None,138.257695769993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,neutral,2,k,k,NaN,NaN,NaN,NaN,1,7,25,10,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,neutral,neutral,k,k,1,0.830056800012244,138.264035900007,139.274301400001,139.257693699998,None,138.264035900007,None,138.264035900007,None,138.264035900007,None,140.092465170004,None,140.092465170004,None,140.092465170004,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,negative,2,l,j,NaN,NaN,NaN,NaN,1,8,26,14,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,2,negative,positive,j,j,1,0.861631400010083,140.105263200006,141.105316700006,141.090800300008,None,140.105263200006,None,140.105263200006,None,140.105263200006,None,141.955232070017,None,141.955232070017,None,141.955232070017,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
positive,negative,1,l,j,NaN,NaN,NaN,NaN,1,9,27,5,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,1,negative,positive,j,j,1,0.881113599985838,141.966537,142.974043199996,142.95525660002,None,141.966537,None,141.966537,None,141.966537,None,143.838534469993,None,143.838534469993,None,143.838534469993,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,negative,2,j,l,NaN,NaN,NaN,NaN,1,10,28,9,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,1,1,2,negative,negative,l,l,1,1.01769089998561,143.841668500012,144.840770700015,144.840770700015,None,143.841668500012,None,143.841668500012,None,143.841668500012,None,145.857202669999,None,145.857202669999,None,145.857202669999,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
negative,negative,1,j,l,NaN,NaN,NaN,NaN,1,11,29,0,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,negative,negative,l,l,1,0.863045100006275,145.860277200001,146.871854500001,146.855187800014,None,145.860277200001,None,145.860277200001,None,145.860277200001,None,147.721795270001,None,147.721795270001,None,147.721795270001,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
neutral,positive,1,k,k,NaN,NaN,NaN,NaN,1,12,30,4,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,,NaN,,prac,2,2,1,positive,neutral,k,k,1,1.04846859999816,147.727421499992,148.738510299998,148.721885700012,None,147.727421499992,None,147.727421499992,None,147.727421499992,None,149.771772669992,None,149.771772669992,None,149.771772669992,None,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,407,2023-06-19_10h29.18.585,Main,2022.1.1,59.1531166530746
